,Count
very rich,2
rich and,7
and stingy,1
stingy he,1
he lives,3
lives in,3
the country,54
country he,4
known prince,1
prince bolkonski,29
bolkonski who,7
had to,185
to retire,17
retire from,6
from the,875
the army,251
army under,3
under the,133
the late,5
late emperor,1
emperor and,55
and was,241
was nicknamed,2
nicknamed the,2
prussia he,1
very clever,5
clever but,1
but eccentric,1
eccentric and,1
a bore,1
bore the,7
the poor,15
poor girl,4
girl is,8
unhappy she,2
has a,14
a brother,7
brother i,2
think you,11
know him,20
he married,1
married lise,1
lise meinen,1
meinen lately,1
lately he,1
an aide,15
aide de,48
de camp,64
camp of,4
of kutuzov,21
kutuzov s,80
be here,14
here tonight,1
tonight listen,1
listen dear,1
dear annette,1
annette said,1
prince suddenly,3
suddenly taking,2
taking anna,1
s hand,52
hand and,101
and for,79
some reason,21
reason drawing,1
drawing it,1
it downwards,4
downwards arrange,1
arrange that,2
that affair,8
affair for,3
me and,78
shall always,7
always be,11
be your,7
your most,3
most devoted,1
devoted slave,1
slave slafe,1
slafe with,1
with an,128
an f,1
f as,1
as a,313
a village,11
village elder,13
elder of,1
of mine,10
mine writes,1
writes in,1
in his,584
his reports,1
reports she,1
is rich,2
and of,167
of good,18
good family,4
family and,19
s all,78
all i,40
i want,59
want and,3
the familiarity,1
familiarity and,2
and easy,9
easy grace,1
grace peculiar,1
peculiar to,4
he raised,15
raised the,6
the maid,29
honor s,2
hand to,48
to his,478
his lips,53
lips kissed,1
kissed it,9
it and,185
and swung,2
swung it,2
to and,32
and fro,10
fro as,1
he lay,24
lay back,2
back in,20
his armchair,3
armchair looking,1
looking in,6
in another,15
another direction,1
direction attendez,1
attendez said,1
pavlovna reflecting,1
reflecting i,1
i ll,190
ll speak,3
to lise,2
lise young,1
young bolkonski,1
bolkonski s,17
s wife,39
wife this,2
this very,7
very evening,3
evening and,13
and perhaps,6
perhaps the,7
the thing,17
thing can,1
can be,40
be arranged,7
arranged it,2
it shall,2
be on,10
on your,18
family s,6
s behalf,5
behalf that,2
that i,183
ll start,2
start my,1
my apprenticeship,1
apprenticeship as,1
as old,5
old maid,5
maid chapter,1
chapter ii,17
ii anna,2
s drawing,6
drawing room,154
room was,11
was gradually,5
gradually filling,1
filling the,5
the highest,45
highest petersburg,2
petersburg society,8
society was,3
was assembled,3
assembled there,3
there people,1
people differing,1
differing widely,1
widely in,1
in age,1
age and,8
and character,1
character but,3
but alike,1
alike in,2
the social,5
social circle,1
circle to,1
to which,82
which they,48
they belonged,4
belonged prince,1
vasili s,29
s daughter,5
daughter the,4
the beautiful,16
beautiful helene,6
helene came,3
came to,138
take her,15
father to,14
the ambassador,5
s entertainment,1
entertainment she,1
she wore,4
wore a,20
a ball,24
ball dress,5
dress and,20
her badge,2
badge as,2
as maid,2
honor the,9
the youthful,3
youthful little,1
little princess,74
princess bolkonskaya,8
bolkonskaya known,1
known as,7
as la,2
la femme,2
femme la,1
la plus,1
plus seduisante,1
seduisante de,1
de petersbourg,1
petersbourg was,1
was also,21
also there,5
there she,7
she had,347
been married,2
married during,1
during the,115
the previous,23
previous winter,1
winter and,5
and being,17
being pregnant,1
pregnant did,1
not go,37
go to,133
to any,14
any large,1
large gatherings,3
gatherings but,1
only to,50
to small,1
small receptions,1
receptions prince,1
s son,16
son hippolyte,1
hippolyte had,2
come with,16
with mortemart,1
mortemart whom,1
whom he,118
he introduced,4
introduced the,1
morio and,1
and many,15
many others,3
others had,5
had also,13
also come,3
come the,4
the most,112
most fascinating,1
fascinating woman,2
woman in,9
in petersburg,92
petersburg to,14
to each,11
each new,2
new arrival,3
arrival anna,1
pavlovna said,2
said you,11
not yet,87
yet seen,9
seen my,2
my aunt,3
aunt or,1
or you,9
do not,130
not know,158
know my,16
aunt and,6
and very,22
very gravely,1
gravely conducted,1
conducted him,3
him or,29
or her,4
her to,92
little old,5
old lady,13
lady wearing,1
wearing large,1
large bows,1
bows of,1
of ribbon,1
ribbon in,1
in her,248
her cap,2
cap who,3
come sailing,1
sailing in,1
in from,13
from another,6
another room,5
room as,12
as soon,147
soon as,146
as the,272
the guests,29
guests began,4
began to,302
arrive and,2
and slowly,3
slowly turning,1
turning her,8
eyes from,18
the visitor,23
visitor to,2
her aunt,14
aunt anna,1
pavlovna mentioned,1
mentioned each,1
each one,4
one s,62
s name,25
name and,16
and then,284
then left,2
left them,7
them each,1
each visitor,2
visitor performed,1
performed the,5
the ceremony,3
ceremony of,1
of greeting,3
greeting this,1
this old,4
old aunt,4
aunt whom,1
whom not,2
not one,24
of them,221
them knew,4
knew not,10
them wanted,1
to know,85
know and,19
and not,148
them cared,1
cared about,2
about anna,1
pavlovna observed,1
observed these,1
these greetings,1
greetings with,1
with mournful,3
mournful and,2
and solemn,13
solemn interest,1
interest and,4
and silent,11
silent approval,1
approval the,3
the aunt,11
aunt spoke,1
spoke to,22
each of,31
them in,60
same words,9
words about,5
about their,10
their health,1
health and,14
own and,15
the health,10
health of,12
majesty who,1
who thank,1
thank god,28
god was,2
was better,5
better today,2
today and,8
and each,12
visitor though,1
though politeness,1
politeness prevented,1
prevented his,5
his showing,1
showing impatience,1
impatience left,1
left the,105
the old,430
old woman,17
woman with,9
a sense,23
sense of,55
of relief,5
relief at,1
at having,9
having performed,1
performed a,5
a vexatious,1
vexatious duty,1
duty and,9
and did,106
not return,6
return to,34
evening the,16
the young,136
young princess,3
bolkonskaya had,1
had brought,32
brought some,8
some work,4
work in,3
a gold,11
gold embroidered,3
embroidered velvet,1
velvet bag,1
bag her,1
her pretty,3
pretty little,4
little upper,1
upper lip,11
lip on,1
on which,80
which a,22
a delicate,4
delicate dark,1
dark down,1
down was,4
was just,41
just perceptible,1
perceptible was,1
was too,26
too short,1
short for,2
for her,126
her teeth,5
teeth but,1
but it,124
it lifted,1
lifted all,1
the more,129
more sweetly,1
sweetly and,1
was especially,1
especially charming,1
charming when,1
she occasionally,1
occasionally drew,1
drew it,2
it down,8
down to,37
meet the,18
the lower,16
lower lip,2
lip as,1
as is,15
is always,37
always the,21
the case,35
case with,4
a thoroughly,1
thoroughly attractive,1
attractive woman,1
woman her,2
her defect,1
defect the,1
the shortness,1
shortness of,2
her upper,2
